Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Total
12/2/2019,Monday,1:30 PM,19,10,15,9,1,54
12/2/2019,Monday,2:30 PM,19,5,16,14,0,54
12/2/2019,Monday,3:30 PM,27,8,14,6,3,58
12/2/2019,Monday,5:30 PM,13,5,21,13,3,55
12/2/2019,Monday,6:30 PM,18,2,14,9,2,45
12/2/2019,Monday,7:30 PM,6,5,12,6,0,29
12/3/2019,Tuesday,7:30 AM,1,0,0,0,0,1
12/3/2019,Tuesday,8:30 AM,14,2,11,1,2,30
12/3/2019,Tuesday,9:30 AM,27,8,23,3,2,63
12/3/2019,Tuesday,11:30 AM,23,9,17,1,0,50
12/3/2019,Tuesday,1:30 PM,26,7,30,9,3,75
12/3/2019,Tuesday,1:30 PM,17,9,19,2,0,47
12/3/2019,Tuesday,3:30 PM,22,4,17,1,2,46
12/3/2019,Tuesday,6:30 PM,14,9,25,3,0,51
12/3/2019,Tuesday,8:30 PM,11,5,6,0,0,22
12/4/2019,Wednesday,7:30 AM,3,1,0,0,0,4
12/4/2019,Wednesday,8:30 AM,14,2,9,1,0,26
12/4/2019,Wednesday,9:30 AM,27,6,15,6,3,57
12/4/2019,Wednesday,10:30 AM,37,6,22,6,0,71
12/4/2019,Wednesday,11:30 AM,34,9,26,7,1,77
12/4/2019,Wednesday,12:30 PM,40,6,66,18,6,136
12/4/2019,Wednesday,1:30 PM,21,5,23,6,0,55
12/4/2019,Wednesday,2:30 PM,22,7,12,3,0,44
12/4/2019,Wednesday,5:30 PM,20,6,18,4,0,48
12/4/2019,Wednesday,6:30 PM,17,4,10,2,1,34
12/4/2019,Wednesday,7:30 PM,11,5,5,2,1,24
12/5/2019,Thursday,7:30 AM,0,0,0,0,0,0
12/5/2019,Thursday,9:30 AM,14,4,5,4,0,27
12/5/2019,Thursday,10:30 AM,23,11,25,7,0,66
12/5/2019,Thursday,11:30 AM,26,10,28,4,1,69
12/5/2019,Thursday,12:30 PM,34,12,32,7,0,85
12/5/2019,Thursday,1:30 PM,18,8,20,4,1,51
12/5/2019,Thursday,2:30 PM,21,5,15,3,1,45
12/5/2019,Thursday,3:30 PM,19,6,15,6,1,47
12/5/2019,Thursday,4:30 PM,20,4,19,2,0,45
12/5/2019,Thursday,5:30 PM,22,8,13,2,2,47
12/5/2019,Thursday,6:30 PM,9,5,11,3,0,28
12/5/2019,Thursday,7:30 PM,11,4,5,3,0,23
12/5/2019,Thursday,8:30 PM,9,2,7,0,0,18
12/6/2019,Friday,7:30 AM,0,0,0,0,0,0
12/6/2019,Friday,8:30 AM,6,2,2,0,0,10
12/6/2019,Friday,9:30 AM,2,1,4,1,0,8
12/6/2019,Friday,10:30 AM,10,1,8,1,0,20
12/6/2019,Friday,11:30 AM,9,2,7,1,1,20
12/6/2019,Friday,11:30 AM,4,1,3,0,1,9
12/6/2019,Friday,12:30 PM,9,2,8,2,0,21
12/6/2019,Friday,6:30 PM,8,2,16,1,1,28
12/6/2019,Friday,7:30 PM,4,0,6,0,0,10
12/6/2019,Friday,8:30 PM,5,1,2,1,0,9
12/7/2019,Saturday,9:30 AM,1,0,0,0,0,1
12/7/2019,Saturday,10:30 AM,4,0,0,0,0,4
12/7/2019,Saturday,11:30 AM,3,1,0,0,0,4
12/7/2019,Saturday,12:30 PM,7,2,4,1,0,14
12/7/2019,Saturday,1:30 PM,4,2,3,0,0,9
12/7/2019,Saturday,3:30 PM,5,2,2,5,0,14
12/7/2019,Saturday,4:30 PM,6,1,0,4,0,11
12/9/2019,Monday,7:30 AM,3,0,2,0,1,6
12/9/2019,Monday,8:30 AM,10,1,4,0,0,15
12/9/2019,Monday,10:30 AM,30,4,18,10,0,62
12/9/2019,Monday,12:30 PM,26,8,20,6,0,60
12/9/2019,Monday,1:30 PM,24,10,25,11,5,75
12/9/2019,Monday,2:30 PM,18,8,13,7,0,46
12/9/2019,Monday,3:30 PM,15,5,9,4,0,33
12/9/2019,Monday,4:30 PM,22,5,20,8,1,56
12/9/2019,Monday,5:30 PM,24,7,25,5,2,63
12/9/2019,Monday,6:30 PM,11,4,17,6,2,40
12/9/2019,Monday,7:30 PM,17,3,5,4,2,31
12/9/2019,Monday,8:30 PM,14,3,5,4,0,26
12/10/2019,Tuesday,7:30 AM,2,0,1,0,2,5
12/10/2019,Tuesday,8:30 AM,7,2,6,0,0,15
12/10/2019,Tuesday,9:30 AM,11,6,9,2,0,28
12/10/2019,Tuesday,10:30 AM,15,7,22,3,0,47
12/10/2019,Tuesday,11:30 AM,11,5,18,9,8,51
12/10/2019,Tuesday,12:30 PM,16,4,20,8,2,50
12/10/2019,Tuesday,1:30 PM,18,2,22,8,2,52
12/10/2019,Tuesday,2:30 PM,22,5,18,5,2,52
12/10/2019,Tuesday,3:30 PM,14,5,18,7,2,46
12/10/2019,Tuesday,4:30 PM,17,5,18,6,3,49
