Semester,Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Total
Spring 2019,2/11/2019,Monday,4:30 PM,30,5,17,3,0,55
Spring 2019,2/11/2019,Monday,5:30 PM,14,7,15,13,0,49
Spring 2019,2/11/2019,Monday,6:30 PM,6,2,11,1,0,20
Spring 2019,2/11/2019,Monday,7:30 PM,5,1,6,7,0,19
Spring 2019,2/11/2019,Monday,8:30 PM,9,1,12,5,0,27
Spring 2019,2/12/2019,Tuesday,7:30 AM,1,1,0,0,0,2
Spring 2019,2/12/2019,Tuesday,8:30 AM,9,3,4,1,5,22
Spring 2019,2/12/2019,Tuesday,9:30 AM,17,1,20,2,3,43
Spring 2019,2/12/2019,Tuesday,10:30 AM,24,5,34,8,4,75
Spring 2019,2/12/2019,Tuesday,11:30 AM,26,2,31,6,3,68
Spring 2019,2/12/2019,Tuesday,12:30 PM,39,9,43,7,7,105
Spring 2019,2/12/2019,Tuesday,1:30 PM,21,5,12,3,2,43
Spring 2019,2/12/2019,Tuesday,3:30 PM,11,4,13,1,0,29
Spring 2019,2/12/2019,Tuesday,4:30 PM,15,4,11,2,1,33
Spring 2019,2/12/2019,Tuesday,5:30 PM,8,8,8,2,0,26
Spring 2019,2/12/2019,Tuesday,6:30 PM,10,3,2,1,0,16
Spring 2019,2/12/2019,Tuesday,7:30 PM,7,1,2,0,0,10
Spring 2019,2/12/2019,Tuesday,8:30 PM,6,0,3,0,0,9
Spring 2019,2/13/2019,Wednesday,7:30 AM,3,0,0,0,0,3
Spring 2019,2/13/2019,Wednesday,8:30 AM,8,1,10,1,2,22
Spring 2019,2/13/2019,Wednesday,9:30 AM,13,8,10,3,0,34
Spring 2019,2/13/2019,Wednesday,10:30 AM,29,7,24,3,3,66
Spring 2019,2/13/2019,Wednesday,1:30 PM,25,5,24,13,3,70
Spring 2019,2/13/2019,Wednesday,2:30 PM,27,7,17,7,2,60
Spring 2019,2/13/2019,Wednesday,3:30 PM,19,5,16,3,1,44
Spring 2019,2/13/2019,Wednesday,4:30 PM,19,3,9,2,0,33
Spring 2019,2/13/2019,Wednesday,5:30 PM,12,4,17,1,0,34
Spring 2019,2/13/2019,Wednesday,7:30 PM,8,1,7,3,0,19
Spring 2019,2/13/2019,Wednesday,8:30 PM,11,1,6,1,0,19
Spring 2019,2/14/2019,Thursday,7:30 AM,9,2,0,0,3,14
Spring 2019,2/14/2019,Thursday,8:30 AM,19,2,4,3,0,28
Spring 2019,2/14/2019,Thursday,9:30 AM,18,4,20,6,4,52
Spring 2019,2/14/2019,Thursday,10:30 AM,30,6,20,12,5,73
Spring 2019,2/14/2019,Thursday,11:30 AM,25,10,12,4,1,52
Spring 2019,2/14/2019,Thursday,12:30 PM,22,7,28,7,0,64
Spring 2019,2/14/2019,Thursday,1:30 PM,20,5,8,0,2,35
Spring 2019,2/14/2019,Thursday,2:30 PM,22,7,10,9,2,50
Spring 2019,2/14/2019,Thursday,3:30 PM,20,5,15,4,0,44
